"id","year","number"
"48","1997","1"
"49","1997","6"
"50","1997","2"
"51","1998","2"
"52","2000","3"
"53","1997","4"
"54","1997","5"
"55","1998","3"
"56","1998","5"
"57","1998","1"
"58","1999","3"
"59","1998","4"
"60","2000","5"
"61","2001","1"
"62","2001","3"
"63","1999","1"
"64","1999","2"
"65","1999","4"
"66","2000","6"
"67","2001","2"
"68","2000","4"
"69","2002","1"
"70","2002","3"
"71","2002","4"
"72","2003","1"
"73","2003","3"
"74","2003","5"
"75","2003","6"
"76","2004","3"
"77","2004","4"
"78","2004","6"
"79","1998","6"
"80","1997","3"
"81","1999","6"
"82","1999","5"
"83","2000","2"
"84","2000","1"
"85","2002","2"
"86","2002","6"
"87","2004","2"
"88","2003","4"
"89","2002","5"
"90","2003","2"
"91","2004","5"
"92","2004","1"
"93","2001","4"
"94","2005","1"
"95","2005","2"
"96","2005","3"
"97","2005","4"
"98","2005","5"
"99","2005","6"
"100","2006","1"
"101","2006","2"
"102","2006","3"
"103","2006","4"
"104","2006","5"
"105","2006","6"
"106","2007","1"
"107","2007","2"
"108","2007","3"
"109","2007","4"
"110","2001","5"
"111","2001","6"
"112","2007","5"
"113","2007","6"
"114","2008","1"
"115","2008","2"
"116","2008","3"
"117","2008","4"
"118","2008","5"
"119","2008","6"
"120","2009","1"
"121","2009","2"
"122","2009","3"
"123","2009","4"
"124","2009","5"
"125","2009","6"
"126","2010","1"
"127","2010","2"
"128","2010","3"
"129","2010","4"
"130","2010","5"
"131","2010","6"
"132","2011","1"
"133","2011","2"
"134","2011","3"
"135","2011","4"
"136","2011","5"
"137","2011","6"
"138","2012","1"
"139","2012","2"
"140","2012","3"
"141","2012","4"
"142","2012","5"
"143","2012","6"
"144","2013","1"
"145","2013","2"
"146","2013","3"
"147","2013","4"
"148","2013","5"
"149","2013","6"
"150","2014","1"
"151","2014","2"
"152","2014","3"
"153","2014","4"
"154","2014","5"
"155","2014","6"
"156","2015","1"
"157","2015","2"
"158","2015","3"
"159","2015","4"
"160","2015","5"
"161","2015","6"
"162","2016","1"
"163","2016","2"
"164","2016","3"
"165","2016","4"
"166","2016","5"
"167","2016","6"
"168","2017","1"
"169","2017","2"
"170","2017","3"
"171","2017","4"
"172","2017","5"
"173","2017","6"
"174","2018","1"
"175","2018","2"
"176","2018","3"
"177","2018","4"
"178","2018","5"
"179","2018","6"
"180","2019","1"
"181","2019","2"
"182","2019","3"
"183","2019","4"
"184","2019","5"
"185","2019","6"
